Number of Items,Knapsack Capacity,Brute Force (ms),Dynamic Programming (ms),Greedy (Selection Sort) (ms),Greedy (Quick Sort) (ms),Backtracking (ms)
10,10000,0.00,0.00,0.00,0.00,0.00
15,10000,1.00,0.00,0.00,0.00,0.00
20,10000,65.00,0.00,0.00,0.00,4.00
1000,10000,-,25.00,0.00,0.00,-
2000,10000,-,44.00,2.00,0.00,-
3000,10000,-,66.00,4.00,0.00,-
4000,10000,-,84.00,8.00,0.00,-
5000,10000,-,105.00,12.00,1.00,-
6000,10000,-,123.00,17.00,1.00,-
7000,10000,-,144.00,22.00,1.00,-
8000,10000,-,174.00,31.00,1.00,-
9000,10000,-,185.00,37.00,1.00,-
10000,10000,-,195.00,47.00,2.00,-
20000,10000,-,380.00,182.00,2.00,-
40000,10000,-,740.00,722.00,4.00,-
80000,10000,-,1457.00,2907.00,10.00,-
10,100000,0.00,3.00,0.00,0.00,0.00
15,100000,2.00,5.00,0.00,0.00,0.00
20,100000,64.00,7.00,0.00,0.00,5.00
1000,100000,-,294.00,1.00,1.00,-
2000,100000,-,564.00,2.00,1.00,-
3000,100000,-,817.00,4.00,0.00,-
4000,100000,-,1059.00,7.00,0.00,-
5000,100000,-,1296.00,12.00,0.00,-
6000,100000,-,1518.00,16.00,0.00,-
7000,100000,-,1763.00,23.00,0.00,-
8000,100000,-,1967.00,30.00,0.00,-
9000,100000,-,2189.00,38.00,0.00,-
10000,100000,-,2438.00,44.00,1.00,-
20000,100000,-,4499.00,181.00,2.00,-
40000,100000,-,8487.00,765.00,5.00,-
80000,100000,-,16569.00,2962.00,10.00,-
10,1000000,0.00,32.00,0.00,0.00,0.00
15,1000000,2.00,47.00,0.00,0.00,0.00
20,1000000,65.00,63.00,0.00,0.00,5.00
